Time,Temperature,Dew_Point,Humidity,Wind_Speed,Pressure,Precipitation
2023-11-01,43.8,29.6,58.7,9.6,30.0,0.06
2023-11-02,40.8,25.0,66.3,5.4,30.1,0.0
2023-11-03,45.0,29.8,64.8,2.4,30.0,0.0
2023-11-04,50.7,29.1,65.3,1.3,29.8,0.0
2023-11-05,55.4,39.9,73.2,3.9,29.7,0.0
2023-11-06,59.7,43.7,75.3,7.4,29.7,0.0
2023-11-07,64.4,47.0,65.7,9.3,29.7,0.0
2023-11-08,65.2,50.6,63.6,7.6,29.7,0.0
2023-11-09,69.0,55.6,73.9,10.6,29.7,0.0
2023-11-10,59.6,42.5,53.8,6.8,29.7,0.0
2023-11-11,52.5,40.9,65.1,7.2,29.9,0.01
2023-11-12,53.4,38.9,59.8,9.1,30.0,0.01
2023-11-13,48.8,37.7,64.1,5.1,30.0,0.0
2023-11-14,51.4,31.6,52.9,5.4,29.9,0.0
2023-11-15,51.0,36.5,58.7,4.3,30.0,0.0
2023-11-16,56.9,44.2,65.0,5.4,30.0,0.0
2023-11-17,61.8,52.8,73.2,3.9,29.7,0.0
2023-11-18,63.5,47.6,73.7,5.8,29.6,0.0
2023-11-19,48.7,29.7,51.3,3.5,29.5,0.0
2023-11-20,50.9,33.2,55.1,7.7,29.9,0.0
2023-11-21,58.2,54.0,86.1,10.4,29.9,0.0
2023-11-22,59.7,53.3,80.7,7.2,29.5,1.38
2023-11-23,48.3,36.2,64.8,5.6,29.7,0.04
2023-11-24,45.8,38.5,77.6,5.6,29.8,0.0
2023-11-25,44.0,28.5,54.0,7.4,29.8,0.0
2023-11-26,45.2,36.3,71.4,6.6,29.8,0.0
2023-11-27,48.5,34.7,68.6,6.1,29.6,0.05
2023-11-28,39.2,18.3,45.6,3.2,29.9,0.0
2023-11-29,35.8,14.3,43.5,7.0,29.9,0.0
2023-11-30,45.9,26.0,48.3,6.6,29.8,0.0
